scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T15:54:21.4924840Z,archive-extract,C:\bench\microbench\archive-extract,0,16319,0,0,0,30845952,277012480,1521652.200,1750328.700,1750328.700,1750328.700,1,10,0.639,1563777.760
com-create-instance,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:02:30.6478477Z,com-create-instance,C:\bench\microbench\com-create-instance,0,765,0,0,0,253952,0,133.000,223.300,246.300,14624.400,1,5000,6543.176,152.741
crypto-hash-verify,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:02:19.8822967Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,249,0,0,0,0,0,40.500,43.200,58.100,137.900,1,5000,24232.015,41.243
dll-load-unique,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T15:58:37.1126770Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,67283,0,0,0,154620928,4044468224,33569.000,35306.100,36214.600,45364.700,1,2000,29.725,33631.827
ext-sensitivity-dll,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T15:56:30.9796642Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,15455,0,0,0,229888,59445248,1375.900,2258.000,2621.100,13986.700,1,10000,647.045,1543.887
ext-sensitivity-exe,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T15:56:05.5214558Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,17738,0,0,0,229376,77713408,1597.100,2449.800,3074.500,31631.000,1,10000,563.770,1771.446
ext-sensitivity-js,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T15:56:55.3605185Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,14362,0,0,0,976896,60289024,1322.300,2008.800,2456.500,20401.800,1,10000,696.259,1434.610
ext-sensitivity-ps1,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T15:57:19.8268969Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,14466,0,0,0,0,47099904,1316.400,2058.200,2512.400,29630.700,1,10000,691.278,1445.050
file-copy-large,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T15:54:45.7267355Z,file-copy-large,C:\bench\microbench\file-copy-large,0,915,0,0,0,0,104894464,39561.500,87497.700,87497.700,87497.700,1,10,22.516,44403.250
file-create-delete,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T15:53:55.1461878Z,file-create-delete,C:\bench\microbench\file-create-delete,0,4086,0,0,0,2034176,23347200,758.100,1167.900,1549.700,25979.400,100,5000,1224.333,813.021
file-enum-large-dir,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T15:54:34.8113428Z,file-enum-large-dir,C:\bench\microbench\file-enum-large-dir,0,3314,0,0,0,22901760,57913344,2919.000,3634.800,5263.000,5263.000,1,50,329.169,3037.652
file-write-content,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:00:14.4696260Z,file-write-content,C:\bench\microbench\file-write-content,0,87358,0,0,0,39252480,119640064,8371.700,9600.700,16723.500,1238090.800,1,10000,114.472,8721.304
fs-watcher,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:03:05.7473727Z,fs-watcher,C:\bench\microbench\fs-watcher,0,5447,0,0,0,88576,39587840,978.200,1550.500,2613.200,23550.100,1,5000,941.193,1060.839
hardlink-create,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T15:54:57.7223830Z,hardlink-create,C:\bench\microbench\hardlink-create,0,1978,0,0,0,0,15687680,382.100,497.900,765.500,1122.500,1,5000,2529.417,393.807
junction-create,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T15:55:08.4205170Z,junction-create,C:\bench\microbench\junction-create,0,692,0,0,0,0,270336,321.700,402.600,793.700,10455.900,1,2000,2893.316,344.277
mem-alloc-protect,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:01:02.6075109Z,mem-alloc-protect,C:\bench\microbench\mem-alloc-protect,0,157,0,0,0,0,0,3.000,3.300,4.800,631.800,1,50000,320214.159,3.080
mem-map-file,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:01:17.0160063Z,mem-map-file,C:\bench\microbench\mem-map-file,0,4392,0,0,0,88576,106115072,413.500,603.100,939.300,2429.600,1,10000,2279.397,438.464
net-connect-loopback,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:01:27.6371190Z,net-connect-loopback,C:\bench\microbench\net-connect-loopback,0,605,0,0,0,952320,0,269.400,369.500,537.100,1561.200,1,2000,3554.117,281.220
net-dns-resolve,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:01:38.7337354Z,net-dns-resolve,C:\bench\microbench\net-dns-resolve,0,1086,0,0,0,403968,65536,214.400,241.300,268.600,8717.700,1,5000,4605.061,217.030
new-exe-run,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:00:27.8364386Z,new-exe-run,C:\bench\microbench\new-exe-run,0,3370,0,0,0,10752,12107776,66581.900,75123.000,81156.000,81156.000,1,50,14.838,67190.856
new-exe-run-motw,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:00:41.2275966Z,new-exe-run-motw,C:\bench\microbench\new-exe-run-motw,0,3381,0,0,0,32768,12283904,67291.200,72199.900,77134.700,77134.700,1,50,14.787,67428.284
pipe-roundtrip,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:01:59.5852765Z,pipe-roundtrip,C:\bench\microbench\pipe-roundtrip,0,154,0,0,0,406528,0,48.300,87.400,169.100,372.400,1,2000,18187.126,54.814
process-create-wait,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T15:55:37.7709612Z,process-create-wait,C:\bench\microbench\process-create-wait,0,19351,0,0,0,44018176,1314816,38397.700,41788.000,44471.800,76234.100,1,500,25.838,38702.272
registry-crud,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:01:49.4296035Z,registry-crud,C:\bench\microbench\registry-crud,0,688,0,0,0,0,0,128.500,173.000,206.900,2395.900,1,5000,7270.264,137.240
ripgrep-clean-build,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:03:32.7108297Z,cargo build --release,C:\bench\ripgrep,0,16842,166109,7625,2132,384979968,78475264,,,,,0,0,0.000,0.000
ripgrep-incremental-build,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:03:58.9302556Z,cargo build --release,C:\bench\ripgrep,0,6186,32625,828,463,68608,23887872,,,,,0,0,0.000,0.000
roslyn-clean-build,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T16:09:08.8721272Z,"dotnet build ""C:\bench\roslyn\Roslyn.slnx"" -c Release /m /nr:false /p:RepositoryUrl=https://github.com/dotnet/roslyn /p:RepositoryCommit=358fc4c237c3ec174e66c5d6e430ba176bf793cf /p:RepositoryBranch=main",C:\bench\roslyn,0,289186,3135718,401265,9708,9159239680,32579620864,,,,,0,0,0.000,0.000
