scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:00:17.9865524Z,archive-extract,C:\bench\microbench\archive-extract,0,23498,0,0,0,81391616,287232000,2307549.700,2590399.200,2590399.200,2590399.200,1,10,0.426,2349710.020
com-create-instance,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:06:47.1963851Z,com-create-instance,C:\bench\microbench\com-create-instance,0,1523,0,0,0,118784,0,284.100,364.100,746.200,14260.700,1,5000,3283.979,304.350
crypto-hash-verify,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:06:35.6651127Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,256,0,0,0,417792,0,40.500,42.500,56.000,116.100,1,5000,24311.770,41.108
dll-load-unique,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:03:59.4720456Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,10496,0,0,0,2023424,4021170176,5160.000,6245.400,7151.100,13363.600,1,2000,190.541,5244.396
ext-sensitivity-dll,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:03:04.7391702Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,6558,0,0,0,28672,71499776,634.300,719.500,863.100,27239.500,1,10000,1524.831,654.467
ext-sensitivity-exe,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:02:48.1711290Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,6524,0,0,0,61590016,69038080,628.700,714.400,877.300,31516.400,1,10000,1532.917,650.696
ext-sensitivity-js,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:03:21.3363619Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,6595,0,0,0,0,66289664,647.700,715.000,855.700,33553.600,1,10000,1516.359,658.169
ext-sensitivity-ps1,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:03:38.9662589Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,7624,0,0,0,32768,76267520,718.100,1043.900,1418.600,11083.300,1,10000,1311.646,760.949
file-copy-large,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:00:43.3137275Z,file-copy-large,C:\bench\microbench\file-copy-large,0,835,0,0,0,0,12288,35570.000,38393.000,38393.000,38393.000,1,10,27.834,35917.910
file-create-delete,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T20:59:44.4640740Z,file-create-delete,C:\bench\microbench\file-create-delete,0,3352,0,0,0,814080,28418048,640.100,732.000,894.900,15063.900,100,5000,1496.974,659.774
file-enum-large-dir,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:00:32.4690226Z,file-enum-large-dir,C:\bench\microbench\file-enum-large-dir,0,4469,0,0,0,208896,33165312,2619.900,3254.500,5021.300,5021.300,1,50,368.822,2711.206
file-write-content,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:04:16.3763002Z,file-write-content,C:\bench\microbench\file-write-content,0,6907,0,0,0,35840,57569280,664.600,777.700,1024.600,18838.000,1,10000,1448.310,685.920
fs-watcher,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:07:24.4508101Z,fs-watcher,C:\bench\microbench\fs-watcher,0,4999,0,0,0,121344,34344960,955.300,1073.800,1269.500,16423.100,1,5000,1024.630,974.411
hardlink-create,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:00:56.6102649Z,hardlink-create,C:\bench\microbench\hardlink-create,0,3294,0,0,0,0,21975040,638.200,761.500,1198.300,17047.300,1,5000,1518.784,656.951
junction-create,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:01:38.3970272Z,junction-create,C:\bench\microbench\junction-create,1,0,0,0,0,0,0,,,,,0,0,0.000,0.000
mem-alloc-protect,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:05:16.5752115Z,mem-alloc-protect,C:\bench\microbench\mem-alloc-protect,0,154,0,0,0,0,0,2.900,3.200,5.000,378.900,1,50000,325658.645,3.030
mem-map-file,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:05:32.3404146Z,mem-map-file,C:\bench\microbench\mem-map-file,0,5738,0,0,0,32768,106532864,547.500,726.100,1056.100,2022.400,1,10000,1743.263,573.383
net-connect-loopback,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:05:43.0586696Z,net-connect-loopback,C:\bench\microbench\net-connect-loopback,0,697,0,0,0,167936,102400,327.700,415.200,1126.600,2277.800,1,2000,2910.684,343.344
net-dns-resolve,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:05:54.2947304Z,net-dns-resolve,C:\bench\microbench\net-dns-resolve,0,1218,0,0,0,8192,3100672,243.200,269.800,294.200,6950.600,1,5000,4105.339,243.455
new-exe-run,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:04:35.7679652Z,new-exe-run,C:\bench\microbench\new-exe-run,0,9395,0,0,0,3914752,43356160,186148.200,195746.600,207847.400,207847.400,1,50,5.322,187455.422
new-exe-run-motw,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:04:55.1770279Z,new-exe-run-motw,C:\bench\microbench\new-exe-run-motw,0,9399,0,0,0,57344,39129088,186772.500,192432.400,209904.000,209904.000,1,50,5.320,187733.516
pipe-roundtrip,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:06:15.3452851Z,pipe-roundtrip,C:\bench\microbench\pipe-roundtrip,0,130,0,0,0,282624,0,49.300,110.700,191.000,850.900,1,2000,17518.412,56.892
process-create-wait,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:02:31.6322901Z,process-create-wait,C:\bench\microbench\process-create-wait,0,43222,0,0,0,11538944,124391424,85667.900,90294.600,93828.600,200856.100,1,500,11.568,86442.529
registry-crud,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:06:05.2163278Z,registry-crud,C:\bench\microbench\registry-crud,0,911,0,0,0,102400,0,172.000,222.400,251.900,10294.900,1,5000,5491.910,181.774
ripgrep-clean-build,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:07:52.9464014Z,cargo build --release,C:\bench\ripgrep,0,18186,148671,7343,1544,310099456,96583680,,,,,0,0,0.000,0.000
ripgrep-incremental-build,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:08:19.4627178Z,cargo build --release,C:\bench\ripgrep,0,6457,31687,843,468,0,23986176,,,,,0,0,0.000,0.000
roslyn-clean-build,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T21:12:16.5267016Z,"dotnet build ""C:\bench\roslyn\Roslyn.slnx"" -c Release /m /nr:false /p:RepositoryUrl=https://github.com/dotnet/roslyn /p:RepositoryCommit=358fc4c237c3ec174e66c5d6e430ba176bf793cf /p:RepositoryBranch=main",C:\bench\roslyn,0,215717,2972984,353921,8211,2568088576,32228339712,,,,,0,0,0.000,0.000
