scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:22:04.9035177Z,archive-extract,C:\bench\microbench\archive-extract,0,32985,0,0,0,35322368,300683264,3199674.700,4267506.500,4267506.500,4267506.500,1,10,0.303,3296322.560
com-create-instance,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:28:50.3797588Z,com-create-instance,C:\bench\microbench\com-create-instance,0,1865,0,0,0,10476544,245760,322.400,631.500,1002.700,1976.600,1,5000,2681.267,372.753
crypto-hash-verify,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:28:38.4982781Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,237,0,0,0,1723904,65536,38.100,42.900,65.000,111.100,1,5000,25527.422,39.146
dll-load-unique,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:25:37.4758499Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,45975,0,0,0,160868352,4023840768,22553.200,26329.800,28614.800,59091.200,1,2000,43.502,22978.223
ext-sensitivity-dll,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:24:04.8499888Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,8303,0,0,0,3072,59895808,785.500,1130.600,1488.200,17812.300,1,10000,1204.442,828.730
ext-sensitivity-exe,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:23:46.5342611Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,8328,0,0,0,512,68600320,779.800,1172.700,1510.500,9683.600,1,10000,1200.778,830.850
ext-sensitivity-js,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:24:23.0983559Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,8230,0,0,0,31232,59478016,779.300,1128.600,1539.900,4165.600,1,10000,1215.082,821.525
ext-sensitivity-ps1,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:24:41.4914681Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,8386,0,0,0,512,64065536,783.700,1149.700,1557.100,78794.600,1,10000,1192.402,837.133
file-copy-large,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:22:34.3815794Z,file-copy-large,C:\bench\microbench\file-copy-large,0,2477,0,0,0,7515136,5992960,215925.300,390508.200,390508.200,390508.200,1,10,4.995,200173.050
file-create-delete,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:21:21.9044663Z,file-create-delete,C:\bench\microbench\file-create-delete,0,4206,0,0,0,1444864,20377600,735.600,1228.000,1616.100,14459.700,100,5000,1189.413,836.557
file-enum-large-dir,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:22:21.8950708Z,file-enum-large-dir,C:\bench\microbench\file-enum-large-dir,0,6977,0,0,0,512,60850688,3371.100,4543.800,5453.800,5453.800,1,50,287.463,3478.294
file-write-content,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:26:29.4745873Z,file-write-content,C:\bench\microbench\file-write-content,0,41989,0,0,0,0,68296704,1034.400,16472.100,17156.100,31756.300,1,10000,238.162,4189.100
fs-watcher,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:29:28.3524356Z,fs-watcher,C:\bench\microbench\fs-watcher,0,7155,0,0,0,62859776,37425152,1339.700,1839.400,2272.000,11883.900,1,5000,711.615,1403.363
hardlink-create,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:22:48.4046655Z,hardlink-create,C:\bench\microbench\hardlink-create,0,4009,0,0,0,0,4096,765.000,1052.100,1409.500,2225.400,1,5000,1248.126,799.549
junction-create,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:22:59.7591095Z,junction-create,C:\bench\microbench\junction-create,0,1342,0,0,0,0,8466432,634.200,828.800,1215.800,23922.300,1,2000,1491.246,669.133
mem-alloc-protect,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:27:18.6967212Z,mem-alloc-protect,C:\bench\microbench\mem-alloc-protect,0,161,0,0,0,0,0,2.900,3.600,6.600,602.100,1,50000,310973.702,3.175
mem-map-file,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:27:35.6251015Z,mem-map-file,C:\bench\microbench\mem-map-file,0,6907,0,0,0,1432064,107556864,657.900,938.500,1236.200,2632.100,1,10000,1452.525,688.175
