scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:02:25.7560056Z,archive-extract,C:\bench\microbench\archive-extract,0,73006,0,0,0,33341440,607715328,7224366.500,7612000.200,7612000.200,7612000.200,1,10,0.137,7299597.010
com-create-instance,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:12:03.3145903Z,com-create-instance,C:\bench\microbench\com-create-instance,0,1613,0,0,0,155648,0,316.200,345.000,367.600,7483.900,1,5000,3101.452,322.265
crypto-hash-verify,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:11:51.7004383Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,275,0,0,0,458752,0,40.500,41.600,55.800,101.800,1,5000,24347.499,41.048
dll-load-unique,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:08:43.6147435Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,15559,0,0,0,2704896,4020969472,6924.100,7931.600,20828.700,85775.700,1,2000,128.542,7774.714
ext-sensitivity-dll,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:05:17.8512450Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,22576,0,0,0,122880,58933248,1691.500,2196.400,23626.900,56724.300,1,10000,442.954,2255.658
ext-sensitivity-exe,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:04:45.2647315Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,21279,0,0,0,1536,59215872,1683.800,2145.800,29670.100,48935.100,1,10000,469.951,2125.524
ext-sensitivity-js,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:06:06.7905256Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,38929,0,0,0,461312,52506624,2006.900,3258.800,62343.900,69925.100,1,10000,256.880,3890.908
ext-sensitivity-ps1,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:08:18.0395819Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,121243,0,0,0,52224,64217088,11323.500,12786.900,23503.100,81090.100,1,10000,82.480,12120.943
file-copy-large,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:03:06.7201689Z,file-copy-large,C:\bench\microbench\file-copy-large,0,848,0,0,0,0,0,38031.100,39487.800,39487.800,39487.800,1,10,26.164,38211.360
file-create-delete,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:01:02.7378477Z,file-create-delete,C:\bench\microbench\file-create-delete,0,6308,0,0,0,589824,22966272,1156.300,1633.700,3114.800,21263.200,100,5000,794.230,1250.664
