scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T19:19:55.4757192Z,archive-extract,C:\bench\microbench\archive-extract,0,12698,0,0,0,36352,260145152,1243251.400,1403847.000,1403847.000,1403847.000,1,10,0.788,1269822.910
com-create-instance,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T19:24:41.0346541Z,com-create-instance,C:\bench\microbench\com-create-instance,0,476,0,0,0,143360,0,78.900,150.600,170.000,5251.000,1,5000,10518.590,95.001
crypto-hash-verify,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T19:24:30.5599545Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,249,0,0,0,417792,0,40.500,41.700,56.000,121.100,1,5000,24303.144,41.123
dll-load-unique,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T19:22:14.4501123Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,8033,0,0,0,1986560,4015796224,3948.600,4621.800,5594.200,12600.500,1,2000,248.982,4012.034
ext-sensitivity-dll,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T19:21:30.3458221Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,3059,0,0,0,0,48869376,296.500,339.200,607.400,23509.100,1,10000,3269.065,304.930
ext-sensitivity-exe,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T19:21:17.2754467Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,3057,0,0,0,4096,40763392,295.200,332.200,520.100,30695.000,1,10000,3271.240,304.341
ext-sensitivity-js,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T19:21:43.4204827Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,3078,0,0,0,33792,57901056,293.800,337.500,546.800,26368.600,1,10000,3248.870,306.820
ext-sensitivity-ps1,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T19:21:56.4228600Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,3006,0,0,0,0,52830208,290.600,337.300,585.500,7671.500,1,10000,3326.983,299.586
file-copy-large,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T19:20:18.8480591Z,file-copy-large,C:\bench\microbench\file-copy-large,0,948,0,0,0,184320,104931328,42111.900,87620.500,87620.500,87620.500,1,10,21.365,46797.080
file-create-delete,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T19:19:32.7607012Z,file-create-delete,C:\bench\microbench\file-create-delete,0,1437,0,0,0,135168,5758976,274.700,314.800,449.000,10238.200,100,5000,3509.398,281.437
file-enum-large-dir,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T19:20:07.8856497Z,file-enum-large-dir,C:\bench\microbench\file-enum-large-dir,0,2395,0,0,0,57344,58286080,2676.300,3351.900,4969.200,4969.200,1,50,361.950,2762.648
file-write-content,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T19:22:27.7643612Z,file-write-content,C:\bench\microbench\file-write-content,0,3312,0,0,0,0,62439424,318.200,368.000,496.700,24041.300,1,10000,3019.808,326.629
